2020-01-21 00:53:04 startup archives install
2020-01-21 00:53:04 install base-passwd:armhf <none> 3.5.43
2020-01-21 00:53:04 status half-installed base-passwd:armhf 3.5.43
2020-01-21 00:53:04 status unpacked base-passwd:armhf 3.5.43
2020-01-21 00:53:04 status unpacked base-passwd:armhf 3.5.43
2020-01-21 00:53:04 configure base-passwd:armhf 3.5.43 3.5.43
2020-01-21 00:53:04 status unpacked base-passwd:armhf 3.5.43
2020-01-21 00:53:04 status half-configured base-passwd:armhf 3.5.43
2020-01-21 00:53:05 status installed base-passwd:armhf 3.5.43
2020-01-21 00:53:05 startup archives install
2020-01-21 00:53:05 install base-files:armhf <none> 9.9+deb9u11
2020-01-21 00:53:05 status half-installed base-files:armhf 9.9+deb9u11
2020-01-21 00:53:05 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:05 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:06 configure base-files:armhf 9.9+deb9u11 9.9+deb9u11
2020-01-21 00:53:06 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:06 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:06 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:06 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:06 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:06 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:06 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:06 status half-configured base-files:armhf 9.9+deb9u11
2020-01-21 00:53:07 status installed base-files:armhf 9.9+deb9u11
2020-01-21 00:53:07 startup archives install
2020-01-21 00:53:08 upgrade dpkg 1.18.25 1.18.25
2020-01-21 00:53:08 status half-configured dpkg 1.18.25
2020-01-21 00:53:08 status unpacked dpkg 1.18.25
2020-01-21 00:53:08 status half-installed dpkg 1.18.25
2020-01-21 00:53:08 status half-installed dpkg 1.18.25
2020-01-21 00:53:08 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:08 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:08 configure dpkg:armhf 1.18.25 1.18.25
2020-01-21 00:53:08 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:08 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:08 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:08 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:08 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:08 status half-configured dpkg:armhf 1.18.25
2020-01-21 00:53:09 status installed dpkg:armhf 1.18.25
2020-01-21 00:53:09 startup archives install
2020-01-21 00:53:09 install libc6:armhf <none> 2.24-11+deb9u4
2020-01-21 00:53:09 status half-installed libc6:armhf 2.24-11+deb9u4
2020-01-21 00:53:11 status unpacked libc6:armhf 2.24-11+deb9u4
2020-01-21 00:53:11 status unpacked libc6:armhf 2.24-11+deb9u4
2020-01-21 00:53:11 configure libc6:armhf 2.24-11+deb9u4 2.24-11+deb9u4
